city,municipality
אום בטין,אל קסום
אל סייד,אל קסום
דריג'את,אל קסום
כחלה,אל קסום
מולדה,אל קסום
מכחול,אל קסום
תראבין א-צאנע (יישוב),אל קסום
חמאם,אל-בטוף
עוזייר,אל-בטוף
רומאנה,אל-בטוף
רומת הייב,אל-בטוף
אביאל,אלונה
"גבעת ניל""י",אלונה
עמיקם,אלונה
אבשלום,אשכול
אוהד,אשכול
אורים,אשכול
בארי,אשכול
בני נצרים,אשכול
גבולות,אשכול
דקל,אשכול
חולית,אשכול
יבול,אשכול
ישע,אשכול
יתד,אשכול
כיסופים,אשכול
כרם שלום,אשכול
מבטחים,אשכול
מגן,אשכול
נווה,אשכול
ניר יצחק,אשכול
ניר עוז,אשכול
נירים,אשכול
סופה,אשכול
עין הבשור,אשכול
עין השלושה,אשכול
עמיעוז,אשכול
פרי גן,אשכול
צאלים,אשכול
צוחר,אשכול
רעים,אשכול
שדה ניצן,אשכול
שדי אברהם,אשכול
שלומית,אשכול
תלמי אליהו,אשכול
תלמי יוסף,אשכול
אביגדור,באר טוביה
אורות,באר טוביה
אחווה,באר טוביה
אמונים,באר טוביה
באר טוביה,באר טוביה
ביצרון,באר טוביה
בית עזרא,באר טוביה
גבעתי,באר טוביה
חצב,באר טוביה
חצור-אשדוד,באר טוביה
ינון,באר טוביה
כנות,באר טוביה
כפר אחים,באר טוביה
כפר ורבורג,באר טוביה
נווה מבטח,באר טוביה
ניר בנים,באר טוביה
,באר טוביה
עזר,באר טוביה
עזריקם,באר טוביה
ערוגות,באר טוביה
שדה עוזיהו,באר טוביה
שתולים,באר טוביה
תימורים,באר טוביה
תלמי יחיאל,באר טוביה
דחי,בוסתן אל-מרג'
כפר מצר,בוסתן אל-מרג'
ניין,בוסתן אל-מרג'
סולם,בוסתן אל-מרג'
בית קמה,בני שמעון
ברוש,בני שמעון
גבעות בר,בני שמעון
דבירה,בני שמעון
חצרים,בני שמעון
כרמים,בני שמעון
להב,בני שמעון
משמר הנגב,בני שמעון
נבטים,בני שמעון
סנסנה,בני שמעון
שובל,בני שמעון
שומרייה,בני שמעון
תאשור,בני שמעון
תדהר,בני שמעון
בית אלעזרי,ברנר
בניה,ברנר
גבעת ברנר,ברנר
גיבתון,ברנר
גן שלמה,ברנר
קדרון,ברנר
גן הדרום,גדרות
כפר אביב,גדרות
כפר מרדכי,גדרות
מישר,גדרות
משגב דב,גדרות
עשרת,גדרות
שדמה,גדרות
אבני איתן,גולן
אודם,גולן
אורטל,גולן
אל-רום,גולן
אלוני הבשן,גולן
אלי-עד,גולן
אניעם,גולן
אפיק,גולן
בני יהודה,גולן
גבעת יואב,גולן
גשור,גולן
חד-נס,גולן
חספין,גולן
יונתן,גולן
כנף,גולן
כפר חרוב,גולן
מבוא חמה,גולן
מיצר,גולן
מעלה גמלא,גולן
מרום גולן,גולן
נאות גולן,גולן
נוב,גולן
"נווה אטי""ב",גולן
נטור,גולן
עין זיוון,גולן
קדמת צבי,גולן
קלע,גולן
קשת,גולן
רמות,גולן
רמת מגשימים,גולן
שעל,גולן
אלון שבות,גוש עציון
אלעזר,גוש עציון
אספר,גוש עציון
בת עין,גוש עציון
הר גילה,גוש עציון
כפר עציון,גוש עציון
כרמי צור,גוש עציון
מגדל עוז,גוש עציון
מעלה עמוס,גוש עציון
נווה דניאל,גוש עציון
נוקדים,גוש עציון
קדר,גוש עציון
ראש צורים,גוש עציון
תקוע,גוש עציון
בית חשמונאי,גזר
בית עוזיאל,גזר
גזר,גזר
גני הדר,גזר
גני יוחנן,גזר
חולדה,גזר
"יד רמב""ם",גזר
יציץ,גזר
ישרש,גזר
"כפר ביל""ו",גזר
כפר בן נון,גזר
כפר שמואל,גזר
כרמי יוסף,גזר
מצליח,גזר
משמר איילון,גזר
משמר דוד,גזר
נוף איילון,גזר
נען,גזר
נצר סרני,גזר
סתרייה,גזר
עזריה,גזר
פדיה,גזר
פתחיה,גזר
רמות מאיר,גזר
שעלבים,גזר
אירוס,גן רווה 
בית חנן,גן רווה 
בית עובד,גן רווה 
גאליה,גן רווה 
גן שורק,גן רווה 
כפר הנגיד,גן רווה 
נטעים,גן רווה 
עיינות,גן רווה 
פלמחים,גן רווה 
אייל,דרום השרון 
אלישמע,דרום השרון 
בית ברל,דרום השרון 
גבעת השלושה,דרום השרון 
"גבעת ח""ן",דרום השרון 
גן חיים,דרום השרון 
גני עם,דרום השרון 
גת רימון,דרום השרון 
חגור,דרום השרון 
חורשים,דרום השרון 
ירחיב,דרום השרון 
ירקונה,דרום השרון 
"כפר מל""ל",דרום השרון 
כפר סירקין,דרום השרון 
מגשימים,דרום השרון 
מעש,דרום השרון 
מתן,דרום השרון 
נווה ימין,דרום השרון 
נווה ירק,דרום השרון 
נחשונים,דרום השרון 
ניר אליהו,דרום השרון 
נירית,דרום השרון 
עדנים,דרום השרון 
עינת,דרום השרון 
צופית,דרום השרון 
צור יצחק,דרום השרון 
צור נתן,דרום השרון 
רמת הכובש,דרום השרון 
רמות השבים,דרום השרון 
שדה ורבורג,דרום השרון 
שדי חמד,דרום השרון 
אביטל,הגלבוע
אדירים,הגלבוע
אומן,הגלבוע
בית אלפא,הגלבוע
בית השיטה,הגלבוע
ברק,הגלבוע
גבע,הגלבוע
גדיש,הגלבוע
גדעונה,הגלבוע
גן נר,הגלבוע
