kind,name,id,street,house_number,city,zipcode
government_office,בית אבות נתניה (ממשלתי גיריאטרי),500107479,הנביאים (שיכון דורה,,נתניה,0
government_office,בית הדין האזורי לעבודה באר שבע,500104088,דרך הנשיאים,,באר שבע,8458900
government_office,בית הדין האזורי לעבודה חיפה,500104070,שדרות המגינים,7,חיפה,3309164
government_office,בית הדין האזורי לעבודה ירושלים,500104062,שועפט,11,ירושלים,9730010
government_office,בית הדין האזורי לעבודה נצרת,500104096,הרימון,7,נצרת עילית,1767210
government_office,בית הדין האזורי לעבודה תל אביב,500104153,שוקן,25,תל אביב -יפו,6653209
government_office,בית הדין הארצי לעבודה,500104054,ככר פיקוד המרכז,,ירושלים,0
government_office,בית המשפט המחוזי באר שבע,500103858,דרך הנשיאים,1,באר שבע,8489501
government_office,בית המשפט המחוזי חיפה,500103825,שמריהו לוין,2,חיפה,3310101
government_office,בית המשפט המחוזי ירושלים,500103833,צאלח א דין,40,ירושלים,0
government_office,בית המשפט המחוזי נצרת,500103841,הרימון,6,נצרת עילית,1768102
government_office,בית המשפט המחוזי תל אביב,500104161,ויצמן,1,תל אביב -יפו,6423901
government_office,בית המשפט העליון,500103866,שערי משפט,,ירושלים,9195000
government_office,בית חולים בני ציון,500107420,שד גולומב אליהו,47,חיפה,3339419
government_office,בית חולים הלל יפה,500107412,תא דואר 00169,,חדרה,3810101
government_office,"בית חולים ממשלתי ע""ש יהודה אברבנ",500107487,קרן קימת לישראל,16,בת ים,5953101
government_office,בית חולים ממשלתי שער מנשה,500107495,ד. נ. חפר 0,,שער מנשה,0
government_office,"בית חולים ע""ש אידית וולפסון",500107438,הלוחמים,62,חולון,5822012
government_office,בית חולים פוריה,500107396,ד.נ.גליל תחתון 0,,פורייה עילית,0
government_office,בית חולים רמות רמז(פלימן),500107453,שניאור זלמן,15,חיפה,3254310
government_office,בית חולים שמואל הרופא,500107446,באר יעקב,1,באר יעקב,0
government_office,"בית חולים ""רבקה זיו"" צפת",500107404,צפת,1,צפת,0
government_office,בית משפט השלום אילת,500103783,שדרות התמרים,,אילת,8855600
government_office,בית משפט השלום אשדוד,500103809,מורדי הגטאות,,אשדוד,7737000
government_office,בית משפט השלום אשקלון,500103775,שדרות בן גוריון,3,אשקלון,7828101
government_office,בית משפט השלום באר שבע,500103767,דרך הנשיאים,1,באר שבע,8489501
government_office,בית משפט השלום בית שאן,500103635,שטורמן,1,בית שאן,0
government_office,בית משפט השלום בראשון לציון,500107347,גלילי ישראל,5,ראשון לציון,7542604
government_office,בית משפט השלום בת ים,500103700,סטרומה,1,בת ים,5951504
government_office,בית משפט השלום דימונה,500103791,ככר דנמרק,,דימונה,0
government_office,בית משפט השלום הרצליה,500103817,סוקולוב,10,הרצליה,4649713
government_office,בית משפט השלום חדרה,500103643,הלל יפה,7,חדרה,3820310
government_office,בית משפט השלום חיפה,500103569,ביאליק,2,חיפה,3310507
government_office,בית משפט השלום טבריה,500103577,דרך הציונות,1,טבריה,1427501
government_office,בית משפט השלום ירושלים,500103726,חשין,6,ירושלים,9515601
government_office,בית משפט השלום כפר סבא,500103692,טשרניחובסקי,4,כפר סבא,4427102
government_office,בית משפט השלום מסעדה,500103668,מסעדה 12435,,מסעדה,1243500
government_office,בית משפט השלום נהריה,500103650,סוקולוב,7,נהריה,2242204
government_office,בית משפט השלום נצרת,500103627,"המעיין, מגרש הרוסים",,נצרת,0
government_office,בית משפט השלום נתניה,500103742,הרצל,57,נתניה,4239023
government_office,בית משפט השלום עכו,500103601,יהושפט,15,עכו,2450904
government_office,בית משפט השלום עפולה,500103619,מנחם פינת שרת,,עפולה,0
government_office,בית משפט השלום פתח תקוה,500103734,הס,20,פתח תקווה,4942020
government_office,בית משפט השלום צפת,500103585,מעלה כנען,,צפת,1323000
government_office,בית משפט השלום קצרין,500103718,משעול החרמונית,4,קצרין,1290000
government_office,בית משפט השלום קרית גת,500103684,"מרכז מסחרי, ככר פז",,קרית גת,0
government_office,בית משפט השלום קרית שמונה,500103593,מרכז מסחרי,,קרית שמונה,0
government_office,בית משפט השלום רחובות,500103759,רוז'נסקי,9,רחובות,7645309
government_office,בית משפט השלום רמלה,500103676,שדרות ויצמן,3,רמלה,7241507
government_office,בית משפט השלום תל אביב,500104146,ויצמן,1,תל אביב -יפו,6423901
government_office,בית משפט לתעבורה אילת,500104021,שדרות התמרים,,אילת,8855600
government_office,בית משפט לתעבורה אשדוד,500104047,מורדי הגטאות,,אשדוד,7737000
government_office,בית משפט לתעבורה אשקלון,500104013,מנחם,,אשקלון,0
government_office,בית משפט לתעבורה באר שבע,500104005,שדרות הנשיאים,,באר שבע,8458900
government_office,בית משפט לתעבורה בית שאן,500103940,שטורמן,1,בית שאן,0
government_office,בית משפט לתעבורה דימונה,500104039,ככר דנמרק,,דימונה,0
government_office,בית משפט לתעבורה חדרה,500103957,הלל יפה,7,חדרה,3820310
government_office,בית משפט לתעבורה חיפה,500103874,העצמאות,24,חיפה,3303503
government_office,בית משפט לתעבורה טבריה,500103882,דרך הציונות,1,טבריה,1427501
government_office,בית משפט לתעבורה ירושלים,500103973,בן יהודה,3,ירושלים,9462402
government_office,בית משפט לתעבורה נצרת,500103932,המעיין,,נצרת,1623000
government_office,בית משפט לתעבורה נתניה,500103999,הרצל,57,נתניה,4239023
government_office,בית משפט לתעבורה עכו,500103916,יהושפט,15,עכו,2450904
government_office,בית משפט לתעבורה עפולה,500103924,מנחם,,עפולה,1828400
government_office,בית משפט לתעבורה פתח תקוה,500103981,הס,20,פתח תקוה,4942020
government_office,בית משפט לתעבורה צפת,500103890,מעלה כנען,,צפת,1323000
government_office,בית משפט לתעבורה קרית שמונה,500103908,מרכז מסחרי,,קרית שמונה,0
government_office,בית משפט לתעבורה רמלה,500103965,שדרות ויצמן,3,רמלה,7241507
government_office,בית משפט לתעבורה תל אביב,500104179,שוקן,25,תל אביב -יפו,6653209
government_office,בית משפט מקומי אריאל,500104344,ד.נ. אפרים,,אריאל,4070000
government_office,בית משפט מקומי בני ברק,500104351,סמ רחל,7,בני ברק,5144419
government_office,בית משפט מקומי בת ים,500104369,סטרומה,1,בת ים,5951504
government_office,בית משפט מקומי גבעתיים,500104377,המעורר,11,גבעתיים,5323309
government_office,בית משפט מקומי הרצליה,500104385,הנדיב,49,הרצליה,4648563
